CreditGrade,Term,LoanStatus,ListingCreationDate,BorrowerAPR,BorrowerRate,ProsperScore,ListingCategory,BorrowerState,Occupation,EmploymentStatus,IsBorrowerHomeowner,DebtToIncomeRatio,StatedMonthlyIncome,OnTimeProsperPayments,Recommendations,LoanOriginalAmount,MonthlyLoanPayment,CreditScoreAvg
C,36,Completed,2007-08-26 19:09:29.263,0.16516,0.158,5.950066585742402,Not Available,CO,Other,Self-employed,True,0.17,3083.333333,22.271949286846276,0,9425,330.43,649.5
HR,36,Completed,2007-01-05 15:00:47.090,0.28269,0.275,5.950066585742402,Not Available,GA,Other,Not available,False,0.06,2083.333333,22.271949286846276,0,3001,123.32,489.5
D,36,Completed,2007-11-30 20:33:49.227,0.21488000000000002,0.2075,5.950066585742402,Not Available,MI,Professional,Full-time,False,0.09,3750.0,22.271949286846276,0,3000,112.64,629.5
C,36,Completed,2008-08-05 19:42:49.197,0.1717,0.15,5.950066585742402,Debt Consolidation,IL,Accountant/CPA,Full-time,False,0.27,3166.666667,9.0,2,4000,138.66,669.5
C,36,Completed,2007-09-18 13:19:02.487,0.16717,0.16,5.950066585742402,Not Available,IL,Other,Full-time,False,0.37,2750.0,22.271949286846276,0,7000,244.47,649.5
D,36,Chargedoff,2007-04-06 23:07:37.940,0.23748000000000002,0.23,5.950066585742402,Not Available,CA,Other,Full-time,False,0.59,3891.666667,22.271949286846276,0,23500,909.68,609.5
D,36,Completed,2006-10-07 00:32:48.020,0.29775999999999997,0.29,5.950066585742402,Not Available,MO,Analyst,Not available,True,0.25,7500.0,22.271949286846276,0,6000,251.43,629.5
D,36,Completed,2007-04-12 17:00:57.690,0.16802,0.15,5.950066585742402,Not Available,NE,Other,Not employed,False,0.2,860.0,22.271949286846276,0,1000,0.0,629.5
E,36,Completed,2006-07-11 20:48:47.660,0.25861,0.25,5.950066585742402,Not Available,MO,Executive,Not available,True,0.13,8583.333333,22.271949286846276,0,2200,87.47,549.5
A,36,Chargedoff,2008-06-29 23:23:40.157,0.18454,0.17,5.950066585742402,Business,CA,Realtor,Full-time,True,0.27594660400633886,0.0,6.0,0,4800,171.13,729.5
E,36,Chargedoff,2007-12-23 12:09:24.000,0.20421,0.1895,5.950066585742402,Debt Consolidation,IL,Food Service Management,Full-time,True,0.36,7416.666667,6.0,1,2932,107.4,569.5
C,36,Completed,2008-04-29 08:26:00.340,0.2832,0.26,5.950066585742402,Debt Consolidation,GA,Executive,Full-time,False,0.27594660400633886,0.0,22.271949286846276,0,14000,564.07,649.5
